main_artist,no_rows,gender,genre,age,nationality
post malone,200,m,rap,24,
billie eilish,153,f,pop,18,
ariana grande,124,f,pop,26,
khalid,109,m,r&b,21,
dababy,99,m,rap,28,
jonas brothers,85,m,pop,28.7,
lil baby,81,m,rap,25,
taylor swift,81,f,pop,30,
lil nas x,76,m,rap,20,
ed sheeran,74,m,pop,28,
marshmello,74,m,edm,27,
juice wrld,67,m,rap,21,
dan + shay,66,m,country,29,
sam smith,65,m,r&b,27,british
halsey,64,f,pop,25,
luke combs,64,m,country,29,
cardi b,63,f,rap,27,
chris brown,57,m,r&b,30,
ynw melly,57,m,rap,20,
a boogie wit da hoodie,56,m,rap,24,
lizzo,54,f,pop,31,
panic! at the disco,54,m,rock,32,
young thug,54,m,rap,28,
mustard,53,m,rap,29,
travis scott,53,m,rap,27,
shawn mendes,50,m,pop,21,canadian
summer walker,50,f,r&b,23,
meek mill,48,m,rap,32,
megan thee stallion,48,f,rap,24,
thomas rhett,41,m,country,29,
youngboy never broke again,41,m,rap,20,
the chainsmokers,40,m,edm,28.5,
anuel aa,39,m,reggaeton,27,puerto rican
bad bunny,39,m,reggaeton,25,puerto rican
lil tecca,39,m,rap,17,
benny blanco,37,m,pop,31,
dj khaled,37,m,pop,44,
ellie goulding,37,f,pop,33,british
old dominion,36,m,country,43,
jason aldean,35,m,country,42,
lady gaga,35,f,pop,33,
nle choppa,35,m,rap,17,
maren morris,34,f,country,29,
5 seconds of summer,33,m,rock,17,australian
city girls,33,f,rap,25,
drake,33,m,rap,33,canadian
luke bryan,33,m,country,43,
maroon 5,33,m,pop,40,
ava max,32,f,pop,25,
lewis capaldi,32,m,r&b,23,scottish
shaed,29,mixed,pop,29,
jon pardi,28,m,country,34,
j. cole,27,m,rap,34,
kane brown,27,m,country,26,
morgan wallen,27,m,country,26,
polo g,27,m,rap,20,
21 savage,26,m,rap,27,
florida georgia line,26,m,country,34,
offset,26,m,rap,28,
blake shelton,25,m,country,43,
daddy yankee,25,m,reggaeton,42,puerto rican
kodak black,25,m,rap,22,
yk osiris,25,m,rap,21,
blueface,24,m,rap,22,
calboy,24,m,rap,20,
nf,24,m,rap,28,
kelsea ballerini,23,f,country,26,
carrie underwood,22,f,country,36,
dierks bentley,22,m,country,44,
lil uzi vert,22,m,rap,25,
tyler,22,m,rap,28,
ella mai,21,f,r&b,25,
p!nk,21,f,pop,40,
y2k,21,m,rap,25,
blanco brown,20,m,country,31,
chase rice,20,m,country,34,
chris lane,20,m,country,35,
future,20,m,rap,36,
kenny chesney,20,m,country,51,
