date,year,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2019-01-12,,Drunk Me,Mitchell Tenpenny,40,63,10,39,,spotify:track:1G4cdOtF36ZCs6i2dZoC87,1G4cdOtF36ZCs6i2dZoC87,,"[u'contemporary country', u'heartland rock']",https://api.spotify.com/v1/audio-analysis/1G4cdOtF36ZCs6i2dZoC87,0.797,0.0933,176.024,0.0554,0.199,0,4,0.499,2,211768,-3.77,0.408,1
2019-01-12,,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,47,89,8,46,,spotify:track:3lb5fWSG2p7x8ik8HN9oFR,3lb5fWSG2p7x8ik8HN9oFR,,"[u'hip hop', u'philly rap', u'pop rap', u'rap', u'southern hip hop', u'trap']",https://api.spotify.com/v1/audio-analysis/3lb5fWSG2p7x8ik8HN9oFR,0.493,0.0477,86.043,0.308,0.0467,0,4,0.734,0,233750,-7.528,0.562,1
2019-01-12,,Solo de Mi,Bad Bunny,96,99,4,93,,spotify:track:5YOkA7qd2983FtBQnP8sYx,5YOkA7qd2983FtBQnP8sYx,,"[u'latin', u'reggaeton', u'trap latino']",https://api.spotify.com/v1/audio-analysis/5YOkA7qd2983FtBQnP8sYx,0.73,0.0778,179.972,0.125,0.287,8.1e-05,4,0.743,10,197968,-4.314,0.15,0
2019-01-12,,whoa (mind in awe),XXXTENTACION,6,94,14,96,,spotify:track:7pdF27mSDuPWhppnHAmWHa,7pdF27mSDuPWhppnHAmWHa,,"[u'emo rap', u'miami hip hop']",https://api.spotify.com/v1/audio-analysis/7pdF27mSDuPWhppnHAmWHa,0.525,0.101,160.147,0.0441,0.653,0.918,4,0.735,6,157777,-2.939,0.369,0
2019-01-12,,All My Friends,21 Savage,28,-,15,97,,spotify:track:4paAidoE8VAemwU4jgCc6l,4paAidoE8VAemwU4jgCc6l,,"[u'atl hip hop', u'pop rap', u'rap', u'trap']",https://api.spotify.com/v1/audio-analysis/4paAidoE8VAemwU4jgCc6l,0.62,0.118,130.09,0.0422,0.171,1.16e-06,4,0.713,0,211785,-4.513,0.206,1
2019-01-19,,Last Shot,Kip Moore,62,62,8,60,,spotify:track:6viHvc13l9A6Ua6xugpeX6,6viHvc13l9A6Ua6xugpeX6,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",https://api.spotify.com/v1/audio-analysis/6viHvc13l9A6Ua6xugpeX6,0.859,0.322,148.037,0.0488,0.00204,0,4,0.487,4,228480,-4.403,0.377,1
2019-01-19,,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,80,87,2,78,,spotify:track:17jeLyQcEUmKv3MXeEo79k,17jeLyQcEUmKv3MXeEo79k,,[u'hip hop'],https://api.spotify.com/v1/audio-analysis/17jeLyQcEUmKv3MXeEo79k,0.727,0.0759,98.97,0.0777,0.09,5.83e-06,4,0.874,8,214160,-7.689,0.427,1
2019-01-19,,Lost In Japan,Shawn Mendes X Zedd,88,91,2,84,,spotify:track:79esEXlqqmq0GPz0xQSZTV,79esEXlqqmq0GPz0xQSZTV,,"[u'canadian pop', u'pop', u'post-teen pop', u'viral pop']",https://api.spotify.com/v1/audio-analysis/79esEXlqqmq0GPz0xQSZTV,0.738,0.106,105.027,0.374,0.255,0,4,0.713,10,201200,-6.784,0.425,1
2019-01-19,,Monster,21 Savage,60,89,5,90,,spotify:track:2FUNBaa5DwItJtYEBgAblU,2FUNBaa5DwItJtYEBgAblU,,"[u'atl hip hop', u'pop rap', u'rap', u'trap']",https://api.spotify.com/v1/audio-analysis/2FUNBaa5DwItJtYEBgAblU,0.607,0.118,134.022,0.124,0.158,0.000228,4,0.89,9,233040,-6.916,0.224,0
2019-01-19,,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,63,88,8,95,,spotify:track:3L19besdNQzd342qL78xqm,3L19besdNQzd342qL78xqm,,"[u'melodic rap', u'pop rap', u'rap', u'trap']",https://api.spotify.com/v1/audio-analysis/3L19besdNQzd342qL78xqm,0.55,0.107,76.503,0.17,0.0114,5.69e-06,4,0.81,2,214593,-7.46,0.183,0
