date,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,all_genre,main_genre
2019-01-12,Drunk Me,mitchell tenpenny,40,63,10,39,,,,,"[u'contemporary country', u'heartland rock']",[u'heartland rock']
2019-01-12,Dangerous,meek mill,47,89,8,46,,,,,"[u'hip hop', u'philly rap', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-01-12,Solo de Mi,bad bunny,96,99,4,93,,,,,"[u'latin', u'reggaeton', u'trap latino']",[u'trap latino']
2019-01-12,whoa (mind in awe),xxxtentacion,6,94,14,96,,,,,"[u'emo rap', u'miami hip hop']",[u'miami hip hop']
2019-01-12,All My Friends,21 savage,28,-,15,97,,,,,"[u'atl hip hop', u'pop rap', u'rap', u'trap']",[u'trap']
2019-01-19,Last Shot,kip moore,62,62,8,60,,,,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock']
2019-01-19,Smile (Living My Best Life),lil' duval,80,87,2,78,,,,,[u'hip hop'],[u'hip hop']
2019-01-19,Lost In Japan,shawn mendes,88,91,2,84,,,,,"[u'canadian pop', u'pop', u'post-teen pop', u'viral pop']",[u'viral pop']
2019-01-19,Monster,21 savage,60,89,5,90,,,,,"[u'atl hip hop', u'pop rap', u'rap', u'trap']",[u'trap']
2019-01-19,Demons And Angels,a boogie wit da hoodie,63,88,8,95,,,,,"[u'melodic rap', u'pop rap', u'rap', u'trap']",[u'trap']
2019-01-19,KIKA,6ix9ine,6,94,14,96,,,,,"[u'emo rap', u'trap']",[u'trap']
2019-01-19,Dip,tyga,NA,,NA,99,,,,,"[u'pop rap', u'rap', u'trap']",[u'trap']
2019-01-19,Lucky You,eminem,NA,,NA,100,,,,,"[u'detroit hip hop', u'g funk', u'hip hop', u'rap']",[u'rap']
2019-01-26,She Got The Best Of Me ,luke combs,40,49,6,38,,,,,[u'contemporary country'],[u'contemporary country']
2019-01-26,Fine China,future,81,81,2,83,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-01-26,Nuketown,ski mask the slump god,87,87,2,84,,,,,"[u'miami hip hop', u'rap', u'trap', u'underground hip hop']",[u'underground hip hop']
2019-01-26,Space Cadet,metro boomin,60,94,6,88,,,,,"[u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-01-26,Butterfly Doors,lil pump,88,88,3,89,,,,,"[u'emo rap', u'miami hip hop', u'rap', u'trap']",[u'trap']
2019-01-26,Valuable Pain,youngboy never broke again,96,98,3,90,,,,,"[u'baton rouge rap', u'trap']",[u'trap']
2019-01-26,Can't Leave Without It,21 savage,92,92,3,93,,,,,"[u'atl hip hop', u'pop rap', u'rap', u'trap']",[u'trap']
2019-01-26,Good Form,nicki minaj,96,-,6,94,,,,,"[u'dance pop', u'hip pop', u'pop', u'pop rap', u'post-teen pop', u'queens hip hop', u'rap']",[u'rap']
2019-01-26,idontwannabeyouanymore,billie eilish,98,98,2,96,,,,,"[u'electropop', u'pop']",[u'pop']
2019-02-02,Natural,imagine dragons,43,50,8,50,,,,,[u'modern rock'],[u'modern rock']
2019-02-02,Jumpin On A Jet,future,61,66,12,57,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-02-02,Never Stop,future,51,60,12,65,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-02-02,Consequences,camila cabello,64,64,13,72,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-02-02,Temptation,future,52,74,14,76,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-02-02,Rocket Ship,future,62,68,10,79,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-02-02,F&N,future,87,87,4,83,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-02-02,Electricity,silk city,88,-,4,90,,,,,"[u'edm', u'house', u'tropical house']",[u'tropical house']
2019-02-02,Face My Fears,hikaru utada,91,-,2,98,,,,,"[u'j-pop', u'japanese singer-songwriter']",[u'japanese singer-songwriter']
2019-02-02,Call The Coroner,future,NA,,NA,100,,,,,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap']",[u'trap']
2019-02-09,Best Shot,jimmie allen,37,60,20,55,,,,,"[u'contemporary country', u'country pop']",[u'country pop']
2019-02-09,Sauce!,xxxtentacion,92,-,4,89,,,,,"[u'emo rap', u'miami hip hop']",[u'miami hip hop']
2019-02-09,BAD!,xxxtentacion,28,-,15,97,,,,,"[u'emo rap', u'miami hip hop']",[u'miami hip hop']
2019-02-09,Blue Tacoma,russell dickerson,NA,,NA,99,,,,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock']
2019-02-16,Alone,marshmello,28,-,11,28,,,,,"[u'brostep', u'progressive electro house']",[u'progressive electro house']
2019-02-16,Breathin,ariana grande,12,25,25,35,,,,,"[u'dance pop', u'pop', u'post-teen pop']",[u'post-teen pop']
2019-02-16,Trip,ella mai,11,35,27,38,,,,,"[u'pop', u'pop rap', u'post-teen pop', u'r&b', u'rap', u'uk contemporary r&b', u'urban contemporary']",[u'urban contemporary']
2019-02-16,Love Lies,khalid,9,37,51,41,,,,,"[u'alternative r&b', u'pop']",[u'pop']
2019-02-16,Beautiful,bazzi,26,33,27,47,,,,,"[u'pop', u'post-teen pop']",[u'post-teen pop']
